Forward Packets,Forward Bytes,Delta Forward Packets,Delta Forward Bytes,Forward Instantaneous Packets per Second,Forward Average Packets per second,Forward Instantaneous Bytes per Second,Forward Average Bytes per second,Reverse Packets,Reverse Bytes,Delta Reverse Packets,Delta Reverse Bytes,DeltaReverse Instantaneous Packets per Second,Reverse Average Packets per second,Reverse Instantaneous Bytes per Second,Reverse Average Bytes per second,Traffic Type
57,5474,1,98,1,1.036363636,98,99.52727273,55,5278,1,98,1,1.018518519,98,97.74074074,ping
57,5474,1,98,1,1.036363636,98,99.52727273,56,5376,1,98,1,1.018181818,98,97.74545455,ping
58,5572,1,98,1,1.035714286,98,99.5,56,5376,1,98,1,1.018181818,98,97.74545455,ping
58,5572,1,98,1,1.035714286,98,99.5,57,5474,1,98,1,1.017857143,98,97.75,ping
59,5670,1,98,1,1.035087719,98,99.47368421,57,5474,1,98,1,1.017857143,98,97.75,ping
59,5670,1,98,1,1.035087719,98,99.47368421,58,5572,1,98,1,1.01754386,98,97.75438596,ping
60,5768,1,98,1,1.034482759,98,99.44827586,58,5572,1,98,1,1.01754386,98,97.75438596,ping
60,5768,1,98,1,1.034482759,98,99.44827586,59,5670,1,98,1,1.017241379,98,97.75862069,ping
61,5866,1,98,1,1.033898305,98,99.42372881,59,5670,1,98,1,1.017241379,98,97.75862069,ping
61,5866,1,98,1,1.033898305,98,99.42372881,60,5768,1,98,1,1.016949153,98,97.76271186,ping
62,5964,1,98,1,1.033333333,98,99.4,60,5768,1,98,1,1.016949153,98,97.76271186,ping
62,5964,1,98,1,1.033333333,98,99.4,61,5866,1,98,1,1.016666667,98,97.76666667,ping
63,6062,1,98,1,1.032786885,98,99.37704918,61,5866,1,98,1,1.016666667,98,97.76666667,ping
63,6062,1,98,1,1.032786885,98,99.37704918,62,5964,1,98,1,1.016393443,98,97.7704918,ping
64,6160,1,98,1,1.032258065,98,99.35483871,62,5964,1,98,1,1.016393443,98,97.7704918,ping
64,6160,1,98,1,1.032258065,98,99.35483871,63,6062,1,98,1,1.016129032,98,97.77419355,ping
65,6258,1,98,1,1.031746032,98,99.33333333,63,6062,1,98,1,1.016129032,98,97.77419355,ping
65,6258,1,98,1,1.031746032,98,99.33333333,64,6160,1,98,1,1.015873016,98,97.77777778,ping
66,6356,1,98,1,1.03125,98,99.3125,64,6160,1,98,1,1.015873016,98,97.77777778,ping
66,6356,1,98,1,1.03125,98,99.3125,65,6258,1,98,1,1.015625,98,97.78125,ping
67,6454,1,98,1,1.030769231,98,99.29230769,65,6258,1,98,1,1.015625,98,97.78125,ping
67,6454,1,98,1,1.030769231,98,99.29230769,66,6356,1,98,1,1.015384615,98,97.78461538,ping
68,6552,1,98,1,1.03030303,98,99.27272727,66,6356,1,98,1,1.015384615,98,97.78461538,ping
68,6552,1,98,1,1.03030303,98,99.27272727,67,6454,1,98,1,1.015151515,98,97.78787879,ping
69,6650,1,98,1,1.029850746,98,99.25373134,67,6454,1,98,1,1.015151515,98,97.78787879,ping
69,6650,1,98,1,1.029850746,98,99.25373134,68,6552,1,98,1,1.014925373,98,97.79104478,ping
70,6748,1,98,1,1.029411765,98,99.23529412,68,6552,1,98,1,1.014925373,98,97.79104478,ping
70,6748,1,98,1,1.029411765,98,99.23529412,69,6650,1,98,1,1.014705882,98,97.79411765,ping
71,6846,1,98,1,1.028985507,98,99.2173913,69,6650,1,98,1,1.014705882,98,97.79411765,ping
71,6846,1,98,1,1.028985507,98,99.2173913,70,6748,1,98,1,1.014492754,98,97.79710145,ping
72,6944,1,98,1,1.028571429,98,99.2,70,6748,1,98,1,1.014492754,98,97.79710145,ping
72,6944,1,98,1,1.028571429,98,99.2,71,6846,1,98,1,1.014285714,98,97.8,ping
73,7042,1,98,1,1.028169014,98,99.18309859,71,6846,1,98,1,1.014285714,98,97.8,ping
73,7042,1,98,1,1.028169014,98,99.18309859,72,6944,1,98,1,1.014084507,98,97.8028169,ping
74,7140,1,98,1,1.027777778,98,99.16666667,72,6944,1,98,1,1.014084507,98,97.8028169,ping
74,7140,1,98,1,1.027777778,98,99.16666667,73,7042,1,98,1,1.013888889,98,97.80555556,ping
75,7238,1,98,1,1.02739726,98,99.15068493,73,7042,1,98,1,1.013888889,98,97.80555556,ping
75,7238,1,98,1,1.02739726,98,99.15068493,74,7140,1,98,1,1.01369863,98,97.80821918,ping
76,7336,1,98,1,1.027027027,98,99.13513514,74,7140,1,98,1,1.01369863,98,97.80821918,ping
76,7336,1,98,1,1.027027027,98,99.13513514,75,7238,1,98,1,1.013513514,98,97.81081081,ping
78,7476,2,140,2,1.04,140,99.68,75,7238,1,98,1,1.013513514,98,97.81081081,ping
78,7476,2,140,2,1.04,140,99.68,77,7378,2,140,2,1.026666667,140,98.37333333,ping
79,7574,1,98,1,1.039473684,98,99.65789474,77,7378,2,140,2,1.026666667,140,98.37333333,ping
79,7574,1,98,1,1.039473684,98,99.65789474,78,7476,1,98,1,1.026315789,98,98.36842105,ping
80,7672,1,98,1,1.038961039,98,99.63636364,78,7476,1,98,1,1.026315789,98,98.36842105,ping
80,7672,1,98,1,1.038961039,98,99.63636364,79,7574,1,98,1,1.025974026,98,98.36363636,ping
81,7770,1,98,1,1.038461538,98,99.61538462,79,7574,1,98,1,1.025974026,98,98.36363636,ping
81,7770,1,98,1,1.038461538,98,99.61538462,80,7672,1,98,1,1.025641026,98,98.35897436,ping
82,7868,1,98,1,1.037974684,98,99.59493671,80,7672,1,98,1,1.025641026,98,98.35897436,ping
82,7868,1,98,1,1.037974684,98,99.59493671,81,7770,1,98,1,1.025316456,98,98.35443038,ping
83,7966,1,98,1,1.0375,98,99.575,81,7770,1,98,1,1.025316456,98,98.35443038,ping
83,7966,1,98,1,1.0375,98,99.575,82,7868,1,98,1,1.025,98,98.35,ping
84,8064,1,98,1,1.037037037,98,99.55555556,82,7868,1,98,1,1.025,98,98.35,ping
84,8064,1,98,1,1.037037037,98,99.55555556,83,7966,1,98,1,1.024691358,98,98.34567901,ping
85,8162,1,98,1,1.036585366,98,99.53658537,83,7966,1,98,1,1.024691358,98,98.34567901,ping
85,8162,1,98,1,1.036585366,98,99.53658537,84,8064,1,98,1,1.024390244,98,98.34146341,ping
86,8260,1,98,1,1.036144578,98,99.51807229,84,8064,1,98,1,1.024390244,98,98.34146341,ping
86,8260,1,98,1,1.036144578,98,99.51807229,85,8162,1,98,1,1.024096386,98,98.3373494,ping
87,8358,1,98,1,1.035714286,98,99.5,85,8162,1,98,1,1.024096386,98,98.3373494,ping
87,8358,1,98,1,1.035714286,98,99.5,86,8260,1,98,1,1.023809524,98,98.33333333,ping
88,8456,1,98,1,1.035294118,98,99.48235294,86,8260,1,98,1,1.023809524,98,98.33333333,ping
88,8456,1,98,1,1.035294118,98,99.48235294,87,8358,1,98,1,1.023529412,98,98.32941176,ping
89,8554,1,98,1,1.034883721,98,99.46511628,87,8358,1,98,1,1.023529412,98,98.32941176,ping
89,8554,1,98,1,1.034883721,98,99.46511628,88,8456,1,98,1,1.023255814,98,98.3255814,ping
90,8652,1,98,1,1.034482759,98,99.44827586,88,8456,1,98,1,1.023255814,98,98.3255814,ping
90,8652,1,98,1,1.034482759,98,99.44827586,89,8554,1,98,1,1.022988506,98,98.32183908,ping
91,8750,1,98,1,1.034090909,98,99.43181818,89,8554,1,98,1,1.022988506,98,98.32183908,ping
91,8750,1,98,1,1.034090909,98,99.43181818,90,8652,1,98,1,1.022727273,98,98.31818182,ping
92,8848,1,98,1,1.033707865,98,99.41573034,90,8652,1,98,1,1.022727273,98,98.31818182,ping
92,8848,1,98,1,1.033707865,98,99.41573034,91,8750,1,98,1,1.02247191,98,98.31460674,ping
93,8946,1,98,1,1.033333333,98,99.4,91,8750,1,98,1,1.02247191,98,98.31460674,ping
93,8946,1,98,1,1.033333333,98,99.4,92,8848,1,98,1,1.022222222,98,98.31111111,ping
94,9044,1,98,1,1.032967033,98,99.38461538,92,8848,1,98,1,1.022222222,98,98.31111111,ping
94,9044,1,98,1,1.032967033,98,99.38461538,93,8946,1,98,1,1.021978022,98,98.30769231,ping
95,9142,1,98,1,1.032608696,98,99.36956522,93,8946,1,98,1,1.021978022,98,98.30769231,ping
95,9142,1,98,1,1.032608696,98,99.36956522,94,9044,1,98,1,1.02173913,98,98.30434783,ping
96,9240,1,98,1,1.032258065,98,99.35483871,94,9044,1,98,1,1.02173913,98,98.30434783,ping
96,9240,1,98,1,1.032258065,98,99.35483871,95,9142,1,98,1,1.021505376,98,98.30107527,ping
97,9338,1,98,1,1.031914894,98,99.34042553,95,9142,1,98,1,1.021505376,98,98.30107527,ping
97,9338,1,98,1,1.031914894,98,99.34042553,96,9240,1,98,1,1.021276596,98,98.29787234,ping
98,9436,1,98,1,1.031578947,98,99.32631579,96,9240,1,98,1,1.021276596,98,98.29787234,ping
98,9436,1,98,1,1.031578947,98,99.32631579,97,9338,1,98,1,1.021052632,98,98.29473684,ping
99,9534,1,98,1,1.03125,98,99.3125,97,9338,1,98,1,1.021052632,98,98.29473684,ping
99,9534,1,98,1,1.03125,98,99.3125,98,9436,1,98,1,1.020833333,98,98.29166667,ping
100,9632,1,98,1,1.030927835,98,99.29896907,98,9436,1,98,1,1.020833333,98,98.29166667,ping
100,9632,1,98,1,1.030927835,98,99.29896907,99,9534,1,98,1,1.020618557,98,98.28865979,ping
101,9730,1,98,1,1.030612245,98,99.28571429,99,9534,1,98,1,1.020618557,98,98.28865979,ping
101,9730,1,98,1,1.030612245,98,99.28571429,100,9632,1,98,1,1.020408163,98,98.28571429,ping
102,9828,1,98,1,1.03030303,98,99.27272727,100,9632,1,98,1,1.020408163,98,98.28571429,ping
102,9828,1,98,1,1.03030303,98,99.27272727,101,9730,1,98,1,1.02020202,98,98.28282828,ping
103,9926,1,98,1,1.03,98,99.26,101,9730,1,98,1,1.02020202,98,98.28282828,ping
103,9926,1,98,1,1.03,98,99.26,102,9828,1,98,1,1.02,98,98.28,ping
104,10024,1,98,1,1.02970297,98,99.24752475,102,9828,1,98,1,1.02,98,98.28,ping
104,10024,1,98,1,1.02970297,98,99.24752475,103,9926,1,98,1,1.01980198,98,98.27722772,ping
105,10122,1,98,1,1.029411765,98,99.23529412,103,9926,1,98,1,1.01980198,98,98.27722772,ping
105,10122,1,98,1,1.029411765,98,99.23529412,104,10024,1,98,1,1.019607843,98,98.2745098,ping
106,10220,1,98,1,1.029126214,98,99.22330097,104,10024,1,98,1,1.019607843,98,98.2745098,ping
106,10220,1,98,1,1.029126214,98,99.22330097,105,10122,1,98,1,1.019417476,98,98.27184466,ping
107,10318,1,98,1,1.028846154,98,99.21153846,105,10122,1,98,1,1.019417476,98,98.27184466,ping
107,10318,1,98,1,1.028846154,98,99.21153846,106,10220,1,98,1,1.019230769,98,98.26923077,ping
108,10416,1,98,1,1.028571429,98,99.2,106,10220,1,98,1,1.019230769,98,98.26923077,ping
108,10416,1,98,1,1.028571429,98,99.2,107,10318,1,98,1,1.019047619,98,98.26666667,ping
110,10556,2,140,2,1.037735849,140,99.58490566,107,10318,1,98,1,1.019047619,98,98.26666667,ping
110,10556,2,140,2,1.037735849,140,99.58490566,109,10458,2,140,2,1.028301887,140,98.66037736,ping
111,10654,1,98,1,1.037383178,98,99.57009346,109,10458,2,140,2,1.028301887,140,98.66037736,ping
111,10654,1,98,1,1.037383178,98,99.57009346,110,10556,1,98,1,1.028037383,98,98.65420561,ping
112,10752,1,98,1,1.037037037,98,99.55555556,110,10556,1,98,1,1.028037383,98,98.65420561,ping
112,10752,1,98,1,1.037037037,98,99.55555556,111,10654,1,98,1,1.027777778,98,98.64814815,ping
113,10850,1,98,1,1.036697248,98,99.5412844,111,10654,1,98,1,1.027777778,98,98.64814815,ping
113,10850,1,98,1,1.036697248,98,99.5412844,112,10752,1,98,1,1.027522936,98,98.64220183,ping
114,10948,1,98,1,1.036363636,98,99.52727273,112,10752,1,98,1,1.027522936,98,98.64220183,ping
114,10948,1,98,1,1.036363636,98,99.52727273,113,10850,1,98,1,1.027272727,98,98.63636364,ping
115,11046,1,98,1,1.036036036,98,99.51351351,113,10850,1,98,1,1.027272727,98,98.63636364,ping
115,11046,1,98,1,1.036036036,98,99.51351351,114,10948,1,98,1,1.027027027,98,98.63063063,ping
116,11144,1,98,1,1.035714286,98,99.5,114,10948,1,98,1,1.027027027,98,98.63063063,ping
116,11144,1,98,1,1.035714286,98,99.5,115,11046,1,98,1,1.026785714,98,98.625,ping
117,11242,1,98,1,1.03539823,98,99.48672566,115,11046,1,98,1,1.026785714,98,98.625,ping
117,11242,1,98,1,1.03539823,98,99.48672566,116,11144,1,98,1,1.026548673,98,98.61946903,ping
118,11340,1,98,1,1.035087719,98,99.47368421,116,11144,1,98,1,1.026548673,98,98.61946903,ping
118,11340,1,98,1,1.035087719,98,99.47368421,117,11242,1,98,1,1.026315789,98,98.61403509,ping
119,11438,1,98,1,1.034782609,98,99.46086957,117,11242,1,98,1,1.026315789,98,98.61403509,ping
119,11438,1,98,1,1.034782609,98,99.46086957,118,11340,1,98,1,1.026086957,98,98.60869565,ping
120,11536,1,98,1,1.034482759,98,99.44827586,118,11340,1,98,1,1.026086957,98,98.60869565,ping
120,11536,1,98,1,1.034482759,98,99.44827586,119,11438,1,98,1,1.025862069,98,98.60344828,ping
121,11634,1,98,1,1.034188034,98,99.43589744,119,11438,1,98,1,1.025862069,98,98.60344828,ping
121,11634,1,98,1,1.034188034,98,99.43589744,120,11536,1,98,1,1.025641026,98,98.5982906,ping
122,11732,1,98,1,1.033898305,98,99.42372881,120,11536,1,98,1,1.025641026,98,98.5982906,ping
122,11732,1,98,1,1.033898305,98,99.42372881,121,11634,1,98,1,1.025423729,98,98.59322034,ping
123,11830,1,98,1,1.033613445,98,99.41176471,121,11634,1,98,1,1.025423729,98,98.59322034,ping
123,11830,1,98,1,1.033613445,98,99.41176471,122,11732,1,98,1,1.025210084,98,98.58823529,ping
124,11928,1,98,1,1.033333333,98,99.4,122,11732,1,98,1,1.025210084,98,98.58823529,ping
124,11928,1,98,1,1.033333333,98,99.4,123,11830,1,98,1,1.025,98,98.58333333,ping
125,12026,1,98,1,1.033057851,98,99.38842975,123,11830,1,98,1,1.025,98,98.58333333,ping
125,12026,1,98,1,1.033057851,98,99.38842975,124,11928,1,98,1,1.024793388,98,98.5785124,ping
126,12124,1,98,1,1.032786885,98,99.37704918,124,11928,1,98,1,1.024793388,98,98.5785124,ping
126,12124,1,98,1,1.032786885,98,99.37704918,125,12026,1,98,1,1.024590164,98,98.57377049,ping
127,12222,1,98,1,1.032520325,98,99.36585366,125,12026,1,98,1,1.024590164,98,98.57377049,ping
127,12222,1,98,1,1.032520325,98,99.36585366,126,12124,1,98,1,1.024390244,98,98.56910569,ping
128,12320,1,98,1,1.032258065,98,99.35483871,126,12124,1,98,1,1.024390244,98,98.56910569,ping
128,12320,1,98,1,1.032258065,98,99.35483871,127,12222,1,98,1,1.024193548,98,98.56451613,ping
129,12418,1,98,1,1.032,98,99.344,127,12222,1,98,1,1.024193548,98,98.56451613,ping
129,12418,1,98,1,1.032,98,99.344,128,12320,1,98,1,1.024,98,98.56,ping
130,12516,1,98,1,1.031746032,98,99.33333333,128,12320,1,98,1,1.024,98,98.56,ping
130,12516,1,98,1,1.031746032,98,99.33333333,129,12418,1,98,1,1.023809524,98,98.55555556,ping
131,12614,1,98,1,1.031496063,98,99.32283465,129,12418,1,98,1,1.023809524,98,98.55555556,ping
131,12614,1,98,1,1.031496063,98,99.32283465,130,12516,1,98,1,1.023622047,98,98.5511811,ping
132,12712,1,98,1,1.03125,98,99.3125,130,12516,1,98,1,1.023622047,98,98.5511811,ping
132,12712,1,98,1,1.03125,98,99.3125,131,12614,1,98,1,1.0234375,98,98.546875,ping
133,12810,1,98,1,1.031007752,98,99.30232558,131,12614,1,98,1,1.0234375,98,98.546875,ping
133,12810,1,98,1,1.031007752,98,99.30232558,132,12712,1,98,1,1.023255814,98,98.54263566,ping
134,12908,1,98,1,1.030769231,98,99.29230769,132,12712,1,98,1,1.023255814,98,98.54263566,ping
